year,state,cancer_death_rate_by_100k_people,obesity_pct_pop
2011,Georgia,170.3,28.0
2011,Kansas,170.3,29.6
2013,Michigan,170.5,31.5
2013,Pennsylvania,170.6,30.0
2017,Maine,170.8,29.1
2016,Delaware,170.8,30.7
2011,Virginia,170.8,29.2
2017,Ohio,171.2,33.8
2014,South Carolina,171.4,32.1
2016,Louisiana,171.9,35.5
2013,Illinois,171.9,29.4
2013,Alaska,172.0,28.4
2016,Indiana,172.5,32.5
2011,Oregon,172.6,26.7
2011,Iowa,173.1,29.0
2017,Tennessee,173.4,32.8
2016,Ohio,173.4,31.5
2015,Missouri,173.4,32.4
2017,Arkansas,173.6,35.0
2016,Alabama,174.0,35.7
2013,South Carolina,174.0,31.7
2014,Michigan,174.1,30.7
2013,Rhode Island,174.6,27.3
2012,Michigan,174.8,31.1
2017,Louisiana,174.9,36.2
2011,Illinois,175.0,27.1
2011,North Carolina,175.0,29.1
2015,Ohio,175.1,29.8
2013,Maine,175.2,28.9
2012,Pennsylvania,175.5,29.1
2011,Alaska,175.5,27.4
2011,Wisconsin,175.5,27.7
2015,Alabama,175.6,35.6
2012,Illinois,175.6,28.1
2011,Vermont,175.9,25.4
2015,Indiana,176.3,31.3
2012,Delaware,177.0,26.9
2017,Oklahoma,177.3,36.5
2011,New Hampshire,177.5,26.2
2014,Alabama,177.6,33.5
2013,Ohio,177.6,30.4
2014,Missouri,177.7,30.2
2016,Oklahoma,177.8,32.8
2014,Ohio,177.8,32.6
2011,Michigan,177.8,31.3
2015,Maine,178.0,30.0
2011,Pennsylvania,178.0,28.6
2013,District of Columbia,178.2,22.9
2014,District of Columbia,178.6,21.7
2016,Arkansas,178.8,35.7
2012,District of Columbia,178.8,21.9
2012,South Carolina,178.8,31.6
2012,Maine,179.3,28.3
2017,West Virginia,179.4,38.1
2013,Missouri,179.4,30.4
2011,Missouri,179.4,30.3
2013,Indiana,179.5,31.8
2014,Indiana,179.7,32.7
2011,Delaware,179.8,28.8
2016,Tennessee,179.9,34.8
2014,Oklahoma,179.9,33.0
2015,Louisiana,180.2,36.2
2015,Tennessee,180.5,33.8
2011,District of Columbia,180.7,23.7
2011,South Carolina,182.0,30.8
2016,West Virginia,182.2,37.7
2013,Alabama,182.2,32.4
2011,Maine,182.2,27.8
2012,Missouri,182.3,29.6
2012,Ohio,182.7,30.1
2017,Mississippi,183.1,37.3
2014,Arkansas,183.1,35.9
2014,Tennessee,184.2,31.2
2015,Oklahoma,184.3,33.9
2012,Indiana,184.4,31.4
2011,Ohio,184.9,29.6
2012,Alabama,185.2,33.0
2015,Arkansas,185.4,34.5
2011,Indiana,185.4,30.8
2013,Tennessee,185.5,33.7
2017,Kentucky,185.7,34.3
2013,Oklahoma,185.7,32.5
2014,Louisiana,186.1,34.9
